,new_V1,new_V2
0,7.7461934,13.506231
1,-13.503382,18.752907
2,-44.579536,-11.460706
3,1.1505734,1.0618612
4,-3.577145,23.78225
5,-27.682133,-0.09721371
6,28.956806,11.36381
7,-10.915902,-32.68306
8,-27.278347,-2.6556406
9,-20.339748,17.417421
10,1.6446157,-12.305897
11,-29.316772,1.3703461
12,16.942635,-26.433325
13,12.990276,-6.161239
14,6.9837713,-15.084017
15,-9.799196,6.4462748
16,27.357254,-14.724593
17,13.300961,-6.3866963
18,28.14604,-10.099886
19,29.781185,21.908308
20,-17.182306,-3.9516664
21,-10.284296,31.351051
22,-21.032602,-14.469532
23,-9.888252,32.21384
24,26.912365,7.011347
25,-10.172851,32.146645
26,-2.6937807,-10.198942
27,28.540337,-7.0110774
28,-8.308958,-15.62353
29,-3.6114554,23.707838
30,6.6228986,29.891394
31,-34.358517,-21.152075
32,-4.513763,24.04622
33,-8.567142,4.2330823
34,17.843206,27.51885
35,23.13252,-10.255302
36,17.294369,-2.7760096
37,3.813754,11.740045
38,-15.837125,30.043098
39,-40.425247,5.837712
40,-19.209328,-1.4817324
41,28.138653,-6.927598
42,7.472768,28.40912
43,-2.4227912,-33.070324
44,16.590218,36.617195
45,-16.136612,-22.089432
46,6.3254747,-4.0690312
47,-5.3539524,-17.047834
48,-33.188824,-20.713802
49,-0.055379156,-29.95293
50,-2.7024126,25.59611
51,1.4127513,1.0712346
52,-4.506981,-30.775335
53,15.96055,-5.728311
54,11.219674,-26.3087
55,-24.91322,-9.769542
56,-11.750312,-1.9403174
57,17.686716,-2.6449606
58,-24.965021,-21.868828
59,-10.260269,25.686947
60,26.59996,6.998224
61,-5.2445903,8.718388
62,12.457546,-4.2426066
63,-15.8362,37.300377
64,-40.56724,5.5466805
65,17.294197,3.4373662
66,-17.282461,-20.172255
67,6.4464283,-0.64556426
68,33.320423,2.4638712
69,-25.700172,3.9921672
70,18.271526,-25.196024
71,5.2673717,-16.326406
72,-16.421143,-22.05859
73,27.804977,-6.938696
74,34.600475,10.869182
75,-16.416965,-15.602473
76,-0.7071136,17.743666
77,13.039793,-4.9432974
78,-44.26025,1.9336927
79,-14.771124,-6.20384
80,20.710344,-0.6881812
81,24.705843,-5.9029727
82,20.710943,-17.953678
83,28.27001,-7.001358
84,-9.862861,25.31735
85,-0.33620885,9.588692
86,-30.744555,18.706467
87,-20.40127,17.159153
88,-14.9766445,1.5996242
89,-34.388294,-21.103106
90,-6.9858284,-8.437547
91,-25.91045,31.142698
92,-26.151724,4.256088
93,38.03857,-3.583225
94,27.224903,-6.527568
95,12.984887,20.758213
96,28.730675,18.972124
97,28.731754,18.97217
98,29.826534,22.085802
99,-17.55436,-5.834376
100,-42.810307,-13.241293
101,-34.325096,-21.272108
102,26.873096,12.184006
103,23.06087,-17.71605
104,11.64678,20.282286
105,-9.919017,24.681269
106,4.671651,32.441235
107,-14.243972,-35.19492
108,5.850415,-18.80191
109,-20.401634,16.751057
110,15.699888,-6.894279
111,5.433739,-0.44622004
112,-13.615283,5.944197
113,26.74365,-9.025792
114,19.517776,0.5076654
115,0.13355303,10.618366
116,-10.521976,6.893098
117,-43.69468,-11.42645
118,-7.727607,6.993689
119,-17.924,1.1379722
120,-25.17657,8.350796
121,-5.300289,8.685413
122,-3.4645364,12.256443
123,27.186308,-11.00597
124,23.301914,9.283476
125,-15.59835,-8.869351
126,7.1317835,17.533913
127,-24.801596,5.5261683
128,20.925638,-1.3039548
129,9.734812,3.1826823
130,13.295863,-6.8212094
131,12.110204,-22.653011
132,26.983559,-11.047025
133,27.631895,-14.400116
134,30.297852,-4.524279
135,10.783695,-0.5130632
136,-10.35183,19.008703
137,36.959347,9.966174
138,-7.188706,-35.09066
139,-43.66094,-11.204006
140,-22.309074,12.945849
141,27.87076,-7.0725417
142,-22.018057,6.5133185
143,18.873512,-29.541645
