,new_V1,new_V2
0,-9.116989,7.8513374
1,-7.6887927,13.343833
2,-2.5887856,-32.391903
3,13.190283,8.997262
4,2.8030791,27.292868
5,-10.374952,34.45269
6,-10.212784,-1.3576506
7,24.284166,-4.342073
8,-25.084257,-4.9560905
9,30.825457,11.795498
10,32.679333,-8.679445
11,-10.020525,34.234486
12,19.827707,2.0663958
13,-19.26313,-16.313997
14,-21.212986,26.29712
15,-37.805138,-7.9611077
16,28.80599,11.958511
17,-19.66112,-16.862852
18,36.573257,13.057948
19,2.7287543,34.557465
20,24.876661,-0.70646334
21,-13.44962,1.0594668
22,-22.204699,-2.1447313
23,-16.792841,1.6944958
24,-21.089567,31.386955
25,-17.22158,1.5384165
26,6.8752317,5.321347
27,-23.16719,-20.301395
28,-21.240204,-1.8526326
29,3.0568175,27.48923
30,-37.499893,12.5739565
31,-30.196114,-2.8032212
32,2.9478025,27.313707
33,8.376512,14.463147
34,-7.5787187,-15.100841
35,-20.328152,-17.64797
36,10.545348,1.6525035
37,11.91884,2.68427
38,1.8587874,26.365864
39,5.6565986,24.573076
40,25.95343,6.071166
41,-24.017208,-19.494165
42,-39.516426,11.729582
43,29.048609,-29.269741
44,-36.166233,11.486881
45,-5.357138,8.583378
46,-1.5376145,1.2135031
47,14.537688,-10.222035
48,-33.688744,-12.981491
49,-14.254815,-19.963789
50,13.162912,40.96858
51,12.879917,7.6712785
52,14.004347,17.71923
53,12.07606,0.5409226
54,-5.0008082,15.164606
55,-21.452475,-9.533643
56,17.77763,-3.1319447
57,10.334947,1.4237806
58,11.645996,-18.955166
59,4.893255,20.602058
60,-21.225111,31.61564
61,18.753119,-1.3981476
62,-14.884533,-4.695853
63,10.988815,-41.768913
64,5.3201942,24.791397
65,10.562046,-29.790266
66,0.6775437,0.68079776
67,13.410626,9.447218
68,24.09763,-6.046378
69,17.760447,14.114806
70,35.237392,5.3309746
71,14.694875,-2.369601
72,-4.9273825,8.418767
73,-23.246172,-20.103851
74,-7.825294,-3.8018117
